ID,Time,lat,lon,alt_AGL_ft,speed_kts,heading_deg,dh_fpm,alt_MSL_ft
253,264,42.2478001084534,-71.4505422822118,5357.28004061934,130.0000326174605,-174.777969780887,-476.3796834282255,5625.31899841502
253,265,42.248044090301,-71.4498023596685,5342.18113468651,130.0000326174605,-174.777969780887,-476.3796834282255,5616.70899465308
253,266,42.248288067566,-71.4490624308149,5327.25501029924,130.0000326174605,-174.777969780887,-476.30841530534224,5608.1012853235
253,267,42.2485320402991,-71.4483224954934,5312.50285028132,130.0000326174605,-174.777969780887,-476.3084766391492,5599.4970571734
253,268,42.2487760084492,-71.4475825538621,5297.92346654265,130.0000326174605,-174.777969780887,-545.1878401415034,5590.89512336254
253,269,42.2490198324726,-71.4468430384594,5280.73593270037,130.0000326174605,-174.777969780887,-659.3257377321621,5579.51119521633
253,270,42.2492636375855,-71.4461035611151,5263.45571644717,130.0000326174605,-174.777969780887,-659.3257377321621,5567.86397022381
253,271,42.2495074381924,-71.445364077254,5253.33833993412,130.0000326174605,-174.777969780887,-659.3257377321621,5556.21903672814
253,272,42.249751234293,-71.4446245868763,5246.75077837529,130.0000326174605,-174.777969780887,-659.3759174950949,5544.57639473304
253,273,42.2499950258386,-71.4438850901323,5239.51736194031,130.0000326174605,-174.777969780887,-659.3758781325675,5532.93520863727
253,274,42.2502388128777,-71.4431455868718,5231.63893678319,130.0000326174605,-174.777969780887,-659.3758781325675,5521.29631411657
253,275,42.2504825954103,-71.4424060770952,5223.11551223614,130.0000326174605,-174.777969780887,-659.3758781325675,5509.65971111134
253,276,42.250726373436,-71.4416665608024,5213.94709768862,130.0000326174605,-174.777969780887,-659.3758781325675,5498.02539961785
253,277,42.2509701469548,-71.4409270379938,5204.13370255024,130.0000326174605,-174.777969780887,-728.2113482248983,5486.39337965101
253,278,42.2512135563992,-71.4401886160802,5188.72187128403,130.0000326174605,-174.777969780887,-1047.3226454643507,5469.81147307903
253,279,42.2514568387189,-71.4394505647769,5171.15453361294,130.0000326174605,-174.777969780887,-1047.3226454643507,5451.71950150654
